longitude,latitude,easting,northing,elevation,gravity
26.50162,-25.42709,1053773.17,7176320.94,1088.0,978635.98
26.52499,-25.84332,1054195.48,7129995.6,1544.71,978575.41
26.58333,-25.34309,1062405.25,7185307.41,1065.0,978637.75
26.60262,-25.49702,1063632.3,7168128.5,1195.0,978616.0
26.61333,-25.84,1063089.97,7129986.96,1513.93,978585.91
26.64494,-25.10564,1069734.99,7211420.94,1065.0,978629.97
26.70055,-25.02113,1075756.49,7220571.56,1041.0,978614.66
26.73466,-25.32137,1077784.36,7187072.31,1152.0,978625.01
26.7823,-25.41209,1082157.35,7176786.4,1119.0,978633.03
26.80493,-25.17828,1085569.06,7202662.49,1158.0,978616.29
26.82217,-25.31319,1086660.12,7187598.64,1173.0,978623.31
26.89618,-25.38133,1093799.58,7179699.77,1097.0,978644.92
26.9418,-25.10703,1099757.29,7209973.73,1052.0,978635.02
26.99461,-25.3987,1103648.32,7177326.07,1128.0,978638.22
27.02834,-25.63834,1105841.26,7150542.32,1110.68,978647.69
27.06332,-25.355,1110804.76,7181868.24,1077.46,978650.89
27.10001,-25.13333,1115632.56,7206334.44,1106.41,978636.39
27.11166,-25.24834,1116228.63,7193499.09,1133.54,978623.8
27.15334,-25.24834,1120441.47,7193306.01,1134.15,978635.49
27.19833,-25.63667,1122975.19,7149934.26,1219.19,978637.89
27.245,-25.09167,1130517.36,7210291.26,1089.95,978674.28
27.25,-25.21667,1130376.64,7196373.38,1131.1,978662.69
27.27333,-25.77,1129825.43,7134756.48,1193.59,978651.19
27.285,-25.60333,1131884.49,7153227.02,1103.98,978686.28
27.30833,-25.56,1134465.95,7157931.52,1091.48,978690.28
27.32167,-25.49001,1136182.5,7165647.63,1074.41,978690.88
27.37666,-25.42833,1142060.29,7172238.98,1110.38,978675.68
27.395,-25.92833,1141212.03,7116563.5,1485.89,978594.71
27.40334,-25.895,1142232.15,7120227.78,1464.86,978602.5
27.41,-25.14,1146964.36,7204132.57,1053.68,978665.89
27.42,-25.505,1146023.29,7163504.33,1049.42,978708.07
27.43333,-25.99001,1144726.82,7109516.68,1587.99,978567.41
27.45168,-25.00833,1151884.16,7218570.08,1022.59,978639.49
27.48167,-25.27081,1153514.06,7189240.05,1017.1,978679.5
27.48833,-25.72166,1151733.21,7139078.91,1189.93,978669.78
27.50471,-25.2513,1155949.0,7191296.18,1009.9,978669.81
27.52167,-25.05833,1158706.72,7212669.52,951.27,978665.59
27.53168,-25.315,1158329.86,7184080.21,1002.17,978686.58
27.55667,-25.36667,1160572.96,7178210.77,997.91,978689.48
27.57832,-25.25,1163399.88,7191076.59,973.83,978666.69
27.59833,-25.89667,1161832.63,7119066.14,1274.36,978636.09
27.63,-25.42,1167686.1,7171913.21,1024.42,978686.28
27.645,-25.00667,1171482.35,7217804.02,1034.48,978630.0
27.67168,-25.67,1170493.1,7143899.46,1128.97,978678.98
27.68333,-25.62833,1171902.31,7148474.16,1097.27,978682.88
27.72,-25.55667,1176005.19,7156256.19,1065.57,978678.48
27.76666,-25.79167,1179369.01,7129878.16,1196.94,978636.99
27.78168,-25.40833,1183072.41,7172438.0,1154.27,978649.49
27.80333,-25.39,1185363.92,7174365.1,1078.98,978653.79
27.84,-25.63333,1187670.74,7147107.8,1163.11,978666.69
27.89667,-25.69667,1193016.27,7139763.8,1280.15,978618.5
27.94501,-25.095,1201385.73,7206444.96,1028.39,978619.0
27.96832,-25.2,1203140.51,7194640.61,1036.92,978623.9
28.01669,-25.62148,1205560.0,7147489.47,1250.7,978646.12
28.01831,-25.84744,1204379.45,7122340.14,1426.5,978579.31
28.02631,-25.89709,1204887.75,7116772.74,1460.1,978572.63
28.06245,-25.217,1212569.58,7192249.68,1026.0,978628.62
28.0752,-25.49483,1212216.89,7161266.51,1210.5,978644.37
28.0816,-25.05736,1215445.54,7209911.28,1104.6,978602.75
28.09567,-25.81029,1212392.39,7126053.5,1419.05,978588.88
28.12502,-25.44487,1217547.16,7166556.27,1143.0,978647.31
28.14319,-25.71712,1217743.52,7136161.15,1286.4,978630.94
28.15816,-25.53993,1220323.8,7155797.3,1281.8,978638.44
28.17303,-25.20828,1223815.74,7192624.55,1036.0,978636.87
28.19034,-25.0687,1226400.92,7208064.71,1057.0,978619.12
28.21205,-25.37659,1226753.68,7173680.18,1101.8,978639.25
28.22443,-25.89619,1224833.62,7115784.14,1446.3,978584.75
28.24496,-25.09325,1231790.54,7205035.13,1068.0,978621.37
28.27469,-25.92909,1229688.79,7111841.31,1524.7,978573.69
28.28986,-25.16357,1235916.25,7196961.78,1053.5,978641.75
28.30331,-25.12648,1237503.61,7201016.09,1076.4,978626.87
28.33624,-25.71764,1237203.5,7135030.31,1316.5,978622.25
28.34653,-25.0143,1242565.68,7213264.67,1094.2,978623.44
28.37395,-25.0695,1245010.45,7206967.73,1089.2,978633.87
28.3997,-25.97581,1241975.31,7105932.1,1590.3,978565.13
28.41843,-25.18625,1248801.85,7193721.97,1089.9,978620.87
28.44212,-25.11243,1251657.97,7201807.35,1059.0,978623.44
28.45992,-25.6833,1249892.67,7138150.59,1381.2,978608.5
28.46815,-25.6311,1251052.8,7143914.95,1308.2,978616.87
28.49174,-25.73001,1252806.08,7132767.58,1392.4,978608.94
28.51593,-25.81731,1254687.89,7122908.29,1508.9,978594.31
28.53236,-25.16946,1260449.14,7194946.92,1027.4,978630.56
28.55167,-25.91476,1257661.98,7111850.52,1502.2,978596.13
28.56635,-25.23845,1263458.9,7187070.57,1062.0,978628.06
28.58347,-25.83536,1261377.77,7120505.56,1454.0,978606.0
28.60896,-25.47177,1266288.05,7160843.49,1239.9,978621.31
28.6329,-25.27931,1269939.05,7182136.81,1049.9,978627.75
28.63901,-25.02795,1272153.64,7210094.08,1019.4,978606.81
28.65929,-25.57227,1270727.26,7149358.12,1386.2,978592.75
28.68578,-25.12886,1276256.53,7198585.22,984.0,978620.56
28.71687,-25.4567,1277294.71,7161890.61,1405.2,978561.88
28.72331,-25.74481,1276065.36,7129764.88,1439.9,978602.25
28.74933,-25.40129,1280937.58,7167870.58,1388.0,978556.5
28.76787,-25.28824,1283548.57,7180352.92,1155.1,978597.94
28.78389,-25.99124,1280538.93,7101956.11,1519.2,978627.62
28.80284,-25.35629,1286645.61,7172565.97,1432.7,978546.88
28.82713,-25.0638,1291012.02,7205003.62,969.6,978617.5
28.83708,-25.5957,1288532.18,7145693.3,1436.3,978580.63
28.86336,-25.02509,1294940.39,7209101.48,969.8,978615.31
28.89302,-25.82732,1292630.94,7119553.54,1392.6,978595.06
