longitude,latitude,easting,northing,elevation,gravity
18.34444,-34.12971,-856779.83,6124813.86,32.2,979656.12
18.42557,-34.29778,-846453.18,6107067.17,104.0,979662.74
18.54388,-34.07861,-839002.0,6133257.14,34.7,979640.33
18.71889,-34.03082,-823432.79,6140961.62,19.3,979640.54
18.84778,-34.13861,-809691.08,6130582.54,14.0,979649.72
18.88528,-34.09473,-806889.19,6135996.12,296.5,979574.06
19.0174,-34.21436,-792692.41,6124315.98,195.0,979611.67
19.11142,-34.0331,-786757.07,6145851.94,313.9,979555.28
19.15,-34.35167,-778209.96,6110650.39,11.58,979668.95
19.22462,-34.19405,-773714.59,6129272.41,79.0,979625.09
19.2729,-34.01733,-771932.23,6149691.83,337.0,979556.51
19.35654,-34.17191,-761771.48,6133436.76,262.4,979593.74
19.36485,-34.56136,-755023.43,6089920.04,50.9,979693.7
19.422,-34.29756,-753763.79,6120191.5,280.0,979604.91
19.48856,-34.25705,-748191.0,6125568.53,266.0,979608.62
19.58333,-34.595,-734274.48,6088916.22,75.89,979688.05
19.72166,-34.185,-727588.12,6136541.47,218.84,979612.92
19.92999,-34.7,-700636.96,6081455.15,10.36,979726.18
18.00833,-33.11082,-905122.42,6234596.77,192.8,979534.2
18.07957,-33.13184,-898041.52,6233218.24,32.34,979564.84
18.13834,-33.11853,-892702.8,6235521.23,160.8,979533.12
18.16667,-33.35194,-886217.91,6209689.96,84.1,979585.03
18.2186,-33.29395,-882267.38,6216914.49,34.59,979576.53
18.25917,-33.3661,-877269.21,6209365.35,85.3,979568.86
18.26884,-33.41125,-875624.22,6204427.04,43.57,979583.98
18.30106,-33.09956,-877626.45,6239869.81,90.31,979548.63
18.33611,-33.49167,-867986.68,6196312.93,103.4,979577.32
18.35558,-33.43617,-867053.19,6202808.34,157.71,979558.91
18.37361,-33.95972,-856845.48,6144287.18,7.9,979636.14
18.38184,-33.20377,-868320.69,6229258.19,42.91,979565.42
18.40807,-33.02055,-868771.28,6250186.77,72.1,979548.02
18.42444,-33.36472,-861720.01,6211760.83,86.5,979567.19
18.44397,-33.58385,-856356.49,6187425.59,131.79,979577.21
18.45433,-33.52031,-856406.23,6194697.36,148.42,979567.41
18.46832,-33.95168,-848120.65,6146476.15,38.4,979632.71
18.48975,-33.64217,-851117.92,6181497.08,85.89,979595.35
18.50667,-33.66417,-849175.95,6179255.77,111.5,979592.55
18.51472,-33.49611,-851116.23,6198225.42,567.1,979471.68
18.53574,-33.81841,-843967.82,6162339.02,17.18,979622.02
18.56111,-33.94389,-839570.79,6148602.07,36.0,979633.47
18.56833,-33.88693,-839813.49,6155089.28,51.4,979619.55
18.58305,-33.71584,-841182.01,6174482.4,138.8,979586.21
18.59557,-33.26334,-847206.31,6225431.4,97.1,979553.48
18.60194,-33.41943,-844133.15,6207996.81,207.9,979544.76
18.61861,-33.045,-848471.38,6250246.62,123.5,979537.4
18.62889,-33.8364,-834956.85,6161569.2,252.7,979561.71
18.64223,-33.86333,-833277.18,6158726.3,191.1,979579.07
18.65083,-33.59721,-836714.25,6188697.23,92.6,979575.84
18.65944,-33.69722,-834316.04,6177590.82,99.8,979586.6
