station_id,longitude,latitude,easting,northing,elevation,time_minutes,reading
123,18.7739,-32.96417,-835043.75,6261360.36,116.2,0.0,2137.04
119,18.70917,-32.89722,-842209.74,6268028.9,659.2,10.0,2022.83
120,18.72362,-32.44194,-847864.13,6319336.94,402.0,55.0,2044.71
121,18.73694,-32.12222,-851472.14,6355419.14,497.3,87.0,1986.68
122,18.75861,-32.16722,-848717.95,6350644.45,554.3,92.0,1977.03
124,18.79472,-32.455,-840894.47,6318792.46,449.4,120.0,2034.49
125,18.80472,-32.23083,-843349.74,6344094.89,842.0,143.0,1917.55
126,18.8175,-32.06833,-844584.6,6362509.85,112.3,157.0,2051.37
127,18.82529,-32.48418,-837539.85,6315911.15,299.4,199.0,2067.57
128,18.85083,-32.12694,-840515.06,6356354.72,83.2,230.0,2058.61
129,18.8625,-32.59473,-832317.1,6303980.03,143.4,270.0,2103.92
130,18.87807,-32.96472,-825179.71,6262653.27,159.0,308.0,2123.17
131,18.88417,-32.68361,-828904.32,6294282.39,98.6,336.0,2118.19
132,18.89333,-32.44806,-831612.38,6320842.43,864.3,358.0,1933.58
133,18.9075,-32.30583,-832410.58,6336992.57,238.5,372.0,2042.47
134,18.91972,-32.58694,-826997.83,6305590.83,877.1,403.0,1937.52
135,18.93306,-32.27194,-830482.77,6341124.29,130.2,436.0,2056.83
123,18.7739,-32.96417,-835043.75,6261360.36,116.2,511.0,2142.15
