longitude,latitude,easting,northing,elevation,gravity
18.34444,-34.12971,255105.43,6220276.33,32.2,979656.12
18.37418,-34.19583,258037.64,6213013.01,18.4,979666.46
18.40388,-34.23972,260899.25,6208214.71,25.0,979671.03
18.41112,-34.16444,261353.99,6216582.03,228.7,979616.11
18.42557,-34.29778,263060.44,6201825.21,104.0,979662.74
18.4586,-34.205,265844.02,6212193.18,8.9,979662.48
18.48611,-34.08528,268052.07,6225535.49,19.0,979642.88
18.50333,-34.03555,269506.57,6231090.44,15.1,979640.22
18.54388,-34.07861,273365.76,6226404.98,34.7,979640.33
18.59306,-34.04916,277827.86,6229779.46,59.6,979633.95
18.6525,-34.07167,283372.95,6227410.34,64.8,979636.03
18.66722,-34.01418,284586.18,6233817.86,43.9,979633.34
18.71722,-34.06194,289322.41,6228624.82,75.5,979631.5
18.71889,-34.03082,289399.59,6232079.83,19.3,979640.54
18.79668,-34.00307,296516.56,6235314.97,111.0,979603.9
18.81917,-34.08083,298777.81,6226735.15,15.4,979639.82
18.84778,-34.13861,301553.14,6220382.79,14.0,979649.72
18.855,-34.24028,302456.31,6209120.56,43.6,979654.78
18.88528,-34.09473,304910.65,6225321.75,296.5,979574.06
18.37361,-33.95972,257311.95,6239201.71,7.9,979636.14
18.38167,-33.92168,257949.19,6243440.2,24.69,979631.41
18.41167,-33.89944,260661.04,6245977.44,6.7,979637.35
18.41861,-33.92111,261363.39,6243589.98,24.3,979634.05
18.4375,-33.73473,262595.07,6264306.55,19.8,979618.2
18.43971,-33.92751,263332.19,6242928.99,10.3,979637.62
18.44667,-33.90556,263915.14,6245379.68,2.4,979638.05
18.44861,-33.69778,263523.25,6268430.41,21.8,979612.4
18.45444,-33.97221,264817.24,6238004.82,59.4,979626.44
18.46611,-33.75667,265306.16,6261938.6,231.2,979572.62
18.46832,-33.95168,266043.68,6240313.75,38.4,979632.71
18.48334,-33.89166,267268.75,6247005.19,5.3,979635.48
18.49722,-33.72917,268114.28,6265059.18,136.4,979592.22
18.50667,-33.66417,268815.88,6272289.75,111.5,979592.55
18.51028,-33.87361,269712.13,6249067.96,26.6,979628.48
18.51279,-33.78389,269703.7,6259024.88,38.3,979614.86
18.52417,-33.9164,271111.64,6244352.94,14.6,979635.13
18.53574,-33.81841,271920.87,6255247.24,17.18,979622.02
18.55641,-33.84975,273917.01,6251816.84,58.58,979614.41
18.55667,-33.79944,273808.54,6257397.47,80.0,979604.74
18.56111,-33.94389,274599.99,6241385.69,36.0,979633.47
18.5625,-33.75471,274230.96,6262371.39,55.2,979606.95
18.56833,-33.88693,275117.71,6247719.23,51.4,979619.55
18.575,-33.67917,275192.06,6270776.96,191.5,979572.63
18.58221,-33.77361,276106.18,6260318.18,208.2,979573.93
18.58305,-33.71584,276033.75,6266727.36,138.8,979586.21
18.58472,-33.73528,276239.03,6264574.87,102.7,979595.27
18.58722,-33.81277,276672.01,6255985.74,268.0,979562.23
18.59805,-33.98666,278125.89,6236722.48,50.0,979632.1
18.60056,-33.68443,277575.68,6270248.94,72.0,979595.35
18.61028,-33.70667,278534.02,6267803.2,69.3,979596.8
18.61472,-33.86694,279357.36,6250037.0,234.9,979573.06
18.6161,-33.79639,279303.67,6257864.79,283.8,979554.01
18.61945,-33.7625,279527.0,6261630.73,94.8,979595.9
18.62193,-33.74278,279706.26,6263823.19,92.2,979593.82
18.62889,-33.8364,280590.27,6253454.58,252.7,979561.71
18.63361,-33.72278,280737.58,6266066.29,75.3,979595.55
18.63556,-33.69028,280835.71,6269674.99,72.6,979592.82
18.63722,-33.80528,281281.98,6256923.88,188.3,979574.43
18.64166,-33.77278,281610.51,6260537.89,162.0,979580.43
18.64223,-33.86333,281893.45,6250496.13,191.1,979579.07
18.64555,-33.94057,282397.1,6241936.34,71.4,979618.09
18.65028,-33.66888,282146.42,6272079.59,117.9,979578.88
18.65668,-33.73444,282905.02,6264821.9,112.4,979587.22
18.65668,-33.98193,283530.84,6237372.57,52.7,979628.01
18.65694,-33.72,282892.73,6266423.98,83.8,979592.23
18.65944,-33.69722,283067.12,6268955.73,99.8,979586.6
18.66667,-33.78751,283964.02,6258956.95,147.6,979581.68
18.67389,-33.87473,284851.41,6249298.51,109.2,979596.73
18.68443,-33.82832,285710.55,6254467.87,153.0,979583.37
18.69611,-33.86333,286878.68,6250609.2,122.1,979591.6
18.70612,-33.67972,287351.4,6270993.76,100.9,979579.59
18.71861,-33.78833,288775.99,6258973.78,111.5,979587.8
18.73611,-33.73807,290274.09,6264583.74,108.0,979584.17
18.7475,-33.99222,291947.29,6236419.51,113.2,979608.33
18.75694,-33.81194,292382.56,6256433.25,133.0,979583.9
18.75945,-33.8539,292716.3,6251784.63,179.4,979576.22
18.76723,-33.75999,293210.26,6262215.56,137.1,979579.84
18.76944,-33.96832,293916.47,6239114.6,177.1,979586.88
18.77917,-33.69528,294161.78,6269416.14,118.2,979579.22
18.78471,-33.67833,294635.02,6271307.01,134.1,979573.13
18.81416,-33.94057,297983.35,6242281.32,170.3,979584.2
18.81444,-33.80167,297681.57,6257686.79,205.9,979567.13
18.82388,-33.745,298422.84,6263990.27,191.0,979567.27
18.84444,-33.99194,300902.16,6236643.26,172.3,979587.47
18.85944,-33.86166,301986.45,6251121.16,250.4,979565.87
18.86555,-33.9525,302761.22,6241058.25,162.4,979588.95
18.87862,-33.68611,303360.1,6270627.01,183.2,979563.51
18.88222,-33.75389,303848.17,6263116.91,193.8,979565.46
18.89111,-33.92944,305070.98,6243664.61,199.2,979581.57
18.95612,-33.79388,310782.02,6258820.18,144.1,979577.13
18.97333,-33.85944,312518.77,6251580.97,169.4,979577.8
