station_id,longitude,latitude,easting,northing,elevation,time_minutes,reading
0,18.34444,-34.12971,255105.43,6220276.33,32.2,0.0,2536.56
55,18.63361,-33.72278,280737.58,6266066.29,75.3,75.0,2472.56
56,18.63556,-33.69028,280835.71,6269674.99,72.6,79.0,2469.64
57,18.63722,-33.80528,281281.98,6256923.88,188.3,96.0,2450.5
58,18.64166,-33.77278,281610.51,6260537.89,162.0,100.0,2456.26
59,18.64223,-33.86333,281893.45,6250496.13,191.1,114.0,2454.21
60,18.64555,-33.94057,282397.1,6241936.34,71.4,123.0,2492.58
61,18.65028,-33.66888,282146.42,6272079.59,117.9,161.0,2451.67
62,18.65668,-33.73444,282905.02,6264821.9,112.4,171.0,2459.47
63,18.65668,-33.98193,283530.84,6237372.57,52.7,202.0,2498.5
64,18.65694,-33.72,282892.73,6266423.98,83.8,232.0,2461.4
65,18.65944,-33.69722,283067.12,6268955.73,99.8,235.0,2455.65
66,18.66667,-33.78751,283964.02,6258956.95,147.6,245.0,2450.26
67,18.67389,-33.87473,284851.41,6249298.51,109.2,257.0,2464.63
68,18.68443,-33.82832,285710.55,6254467.87,153.0,263.0,2451.04
69,18.69611,-33.86333,286878.68,6250609.2,122.1,268.0,2458.98
70,18.70612,-33.67972,287351.4,6270993.76,100.9,288.0,2446.03
71,18.71861,-33.78833,288775.99,6258973.78,111.5,300.0,2453.6
72,18.73611,-33.73807,290274.09,6264583.74,108.0,307.0,2449.63
0,18.34444,-34.12971,255105.43,6220276.33,32.2,369.0,2518.11
