# Scaling values from readings to mGal for University of Liverpool L&G gravimter Model G 563
counter_reading,value_mgal,interval_factor
0000,0000.00,1.00636
0100,0100.64,1.00621
0200,0201.26,1.00609
0300,0301.87,1.00597
0400,0402.46,1.00588
0500,0503.05,1.00579
0600,0603.63,1.00570
0700,0704.20,1.00563
0800,0804.76,1.00557
0900,0905.32,1.00551
1000,1005.87,1.00544
1100,1106.42,1.00539
1200,1206.95,1.00533
1300,1307.49,1.00528
1400,1408.02,1.00524
1500,1508.54,1.00522
1600,1609.06,1.00520
1700,1709.58,1.00519
1800,1810.10,1.00518
1900,1910.62,1.00518
2000,2011.14,1.00519
2100,2111.66,1.00520
2200,2212.18,1.00521
2300,2312.70,1.00523
2400,2413.22,1.00525
2500,2513.74,1.00528
2600,2614.27,1.00530
2700,2714.80,1.00531
2800,2815.33,1.00533
2900,2915.87,1.00535
3000,3016.40,1.00536
3100,3116.94,1.00536
3200,3217.47,1.00536
3300,3318.01,1.00536
3400,3418.55,1.00536
3500,3519.08,1.00535
3600,3619.62,1.00533
3700,3720.15,1.00529
3800,3820.68,1.00526
3900,3921.20,1.00523
4000,4021.73,1.00519
4100,4122.25,1.00513
4200,4222.76,1.00509
4300,4323.27,1.00504
4400,4423.77,1.00500
4500,4524.27,1.00494
4600,4624.77,1.00487
4700,4725.25,1.00480
4800,4825.73,1.00474
4900,4926.21,1.00464
5000,5026.67,1.00454
5100,5127.13,1.00444
5200,5227.57,1.00432
5300,5328.00,1.00420
5400,5428.42,1.00406
5500,5528.83,1.00392
5600,5629.22,1.00375
5700,5729.59,1.00355
5800,5829.95,1.00335
5900,5930.28,1.00316
6000,6030.60,1.00296
6100,6130.90,1.00275
6200,6231.17,1.00254
6300,6331.43,1.00231
6400,6431.66,1.00206
6500,6531.86,1.00181
6600,6632.04,1.00154
6700,6732.20,1.00123
6800,6832.32,1.00089
6900,6932.41,1.00047
7000,7032.46,1.00000
